0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.25,0.97,0.14,1.57,-0.23,-1.74,0.16,-1.1,3.2861786309583962,3.46,-5.2,1156.28,-22.03,154.95
-0.4,0.92,0.24,1.24,-0.4,-1.34,0.25,-0.99,3.352408937470525,2.15,-3.22,1098.47,-27.12,195.33
-0.1,0.99,0.06,1.39,-0.1,-1.5,0.06,-1.08,2.2732405761805694,6.81,-3.58,1361.36,-5.36,219.34
-0.42,0.91,0.23,1.66,-0.38,-1.86,0.27,-1.08,7.608955367943963,4.07,-0.44,284.46,22.39,135.29
-0.53,0.85,0.31,1.61,-0.51,-1.81,0.32,-1.02,8.751871372531957,1.48,1.25,48.84,42.85,50.39
-0.26,0.96,0.16,1.23,-0.26,-1.31,0.16,-1.02,0.8890529325694752,0.9,-0.52,1581.02,64.36,146.93
-0.29,0.96,0.15,1.46,-0.26,-1.59,0.18,-1.07,9.011002186674489,5.96,1.58,-2.25,46.0,172.78
-0.2,0.98,0.12,0.99,-0.2,-1.01,0.12,-0.97,6.708439438262955,3.86,-1.74,455.99,-59.35,168.68
-0.14,0.99,0.08,1.47,-0.14,-1.61,0.09,-1.1,7.123684266599767,5.76,-0.58,377.72,14.93,172.72
-0.26,0.96,0.16,1.23,-0.26,-1.31,0.16,-1.02,4.572094267507762,0.5,-0.73,863.11,21.77,81.72
-0.28,0.96,0.16,1.8,-0.27,-2.03,0.17,-1.15,8.705258205956506,1.66,-1.8,58.93,-34.37,45.11
-0.32,0.95,0.19,1.19,-0.32,-1.26,0.2,-0.99,5.922924269139456,2.91,-2.26,619.14,-41.92,153.89
-0.27,0.96,0.16,1.53,-0.26,-1.68,0.16,-1.09,7.114560955727372,0.79,-1.21,385.96,3.7,47.04
-0.13,0.99,0.08,1.46,-0.13,-1.59,0.08,-1.09,3.7000627882764805,4.51,-3.17,1078.69,-1.4,154.73
-0.33,0.94,0.18,1.76,-0.3,-1.98,0.2,-1.13,1.351808828622496,4.84,-4.37,1554.79,84.02,217.35
-0.43,0.9,0.24,1.34,-0.4,-1.47,0.27,-1.0,1.6943886442411082,-0.42,-3.67,1496.5,14.18,160.98
-0.42,0.91,0.24,1.44,-0.4,-1.59,0.26,-1.03,9.123934632667396,0.82,-2.05,-24.06,-60.61,23.35
-0.16,0.99,0.1,1.29,-0.16,-1.38,0.1,-1.05,2.1104381659486258,2.72,-2.23,1371.58,11.89,137.37
-0.06,1.0,0.04,1.05,-0.06,-1.08,0.04,-1.0,7.19017322048355,1.12,1.79,360.88,66.62,46.27
-0.3,0.95,0.18,1.41,-0.29,-1.53,0.18,-1.05,2.239060555955883,2.71,-5.88,1322.17,-57.39,177.32
-0.27,0.96,0.16,0.96,-0.26,-0.98,0.16,-0.95,6.973192342110134,3.03,-0.04,406.84,-1.23,149.3
-0.25,0.97,0.14,1.57,-0.23,-1.74,0.16,-1.1,8.430038913049016,0.86,-0.87,115.34,-11.0,31.36
-0.1,0.99,0.06,1.39,-0.1,-1.5,0.06,-1.08,3.3705132230643207,6.68,-2.98,1139.29,-5.26,213.3
-0.42,0.91,0.23,1.41,-0.39,-1.55,0.26,-1.02,8.596012853722288,3.37,1.49,78.89,52.85,111.04
-0.26,0.97,0.15,0.98,-0.25,-1.0,0.16,-0.96,2.4265400280900797,2.52,1.34,1322.56,51.64,198.38
-0.47,0.88,0.28,1.23,-0.47,-1.33,0.29,-0.95,1.449061017622546,-2.1,-0.27,1535.11,96.18,154.15
-0.1,1.0,0.05,1.84,-0.09,-2.07,0.06,-1.19,7.48854891965895,2.34,-2.96,295.93,-34.03,60.62
-0.48,0.88,0.25,1.76,-0.42,-1.99,0.3,-1.08,1.2678515734497164,0.96,-13.56,1562.23,-114.9,180.23
-0.38,0.92,0.23,0.95,-0.38,-0.97,0.23,-0.92,2.493050825933143,-0.62,-0.53,1262.91,-8.9,146.57
-0.29,0.96,0.15,1.46,-0.26,-1.59,0.18,-1.07,8.8274712768875,5.89,1.4,35.23,43.64,172.93
-0.39,0.92,0.23,1.25,-0.38,-1.34,0.24,-0.99,2.347616552525161,-0.23,-3.46,1334.47,-20.9,143.55
-0.43,0.9,0.24,1.38,-0.4,-1.51,0.27,-1.01,6.7139994174948345,1.06,-3.29,448.27,-59.04,82.86
-0.26,0.97,0.16,1.05,-0.26,-1.09,0.16,-0.98,7.060772465077385,2.79,0.62,396.15,30.32,131.94
-0.42,0.91,0.24,1.44,-0.4,-1.59,0.26,-1.03,2.939429602252983,0.9,-2.66,1176.35,34.12,151.62
-0.16,0.99,0.09,1.99,-0.15,-2.26,0.1,-1.22,6.346669050738959,2.84,-1.69,520.63,32.16,78.99
-0.38,0.92,0.23,0.95,-0.38,-0.97,0.23,-0.92,6.11311572645999,0.09,-0.37,560.3,-9.67,79.96
-0.48,0.88,0.25,1.76,-0.42,-1.99,0.3,-1.08,4.819789649982452,0.82,-7.6,844.59,-75.86,105.89
-0.08,1.0,0.04,2.01,-0.07,-2.28,0.05,-1.23,6.120815967202329,4.19,-3.95,560.89,-11.08,98.12
-0.2,0.98,0.13,1.05,-0.21,-1.08,0.12,-0.99,2.98466324283861,1.09,1.98,1203.54,85.7,113.54
-0.42,0.91,0.22,1.67,-0.38,-1.87,0.26,-1.08,4.353325212275401,4.55,-5.61,946.27,-32.33,202.47
-0.28,0.96,0.16,1.8,-0.27,-2.03,0.17,-1.15,2.4234750516980794,3.67,-11.8,1314.95,-108.72,161.48
-0.22,0.98,0.11,2.06,-0.19,-2.35,0.14,-1.22,6.484577583246434,7.69,-3.82,514.7,-10.56,184.05
-0.27,0.96,0.15,1.81,-0.25,-2.04,0.17,-1.15,1.5395789771022905,4.19,-4.95,1468.82,63.15,177.79
-0.47,0.88,0.28,1.23,-0.47,-1.33,0.29,-0.95,1.2584882543211395,-2.23,-0.31,1573.86,97.36,156.01
-0.22,0.97,0.13,2.02,-0.21,-2.3,0.14,-1.21,8.389098371899017,0.85,-2.96,118.82,-46.95,25.08
-0.05,1.0,0.03,1.05,-0.05,-1.07,0.03,-1.0,9.886220936341982,3.87,-0.05,-176.46,-4.12,135.99
-0.49,0.87,0.26,1.86,-0.44,-2.12,0.31,-1.1,4.822716151841315,3.88,-6.21,818.56,-30.03,173.1
-0.43,0.9,0.25,1.72,-0.41,-1.94,0.26,-1.09,1.9140906314757866,1.18,-4.55,1440.51,65.3,167.23
-0.44,0.9,0.23,1.75,-0.39,-1.97,0.28,-1.09,2.062548627461519,0.2,-4.67,1361.71,57.4,133.92
-0.27,0.96,0.16,0.96,-0.26,-0.98,0.16,-0.95,0.05947597302699115,1.79,0.58,1794.62,22.43,220.48
-0.22,0.98,0.11,2.06,-0.19,-2.35,0.14,-1.22,5.397494130030514,7.24,-5.72,737.13,-19.68,180.94
-0.22,0.98,0.13,1.04,-0.21,-1.07,0.14,-0.98,8.950274986826889,2.21,0.37,10.03,13.37,81.42
-0.08,1.0,0.05,1.48,-0.08,-1.62,0.05,-1.1,7.0804525065713175,5.73,-1.65,373.09,-14.65,165.7
-0.43,0.9,0.25,1.72,-0.41,-1.94,0.26,-1.09,4.597893858294352,1.45,-2.2,894.91,54.4,122.73
-0.46,0.89,0.25,1.34,-0.42,-1.47,0.29,-0.99,7.680588355506789,3.66,-0.74,256.07,-0.95,146.25
-0.43,0.9,0.24,1.34,-0.4,-1.47,0.27,-1.0,0.330206275935474,-0.92,-4.07,1775.94,27.28,179.74
-0.49,0.87,0.26,1.86,-0.44,-2.12,0.31,-1.1,2.5286965820264307,2.31,-10.5,1268.09,-60.31,179.89
-0.12,0.99,0.07,1.08,-0.12,-1.12,0.07,-1.01,9.91707637755418,0.03,-0.91,-180.16,-34.7,-4.73
-0.12,0.99,0.06,1.87,-0.1,-2.1,0.07,-1.19,0.35286375534791303,7.58,-6.89,1685.12,52.46,198.95
-0.08,1.0,0.04,2.01,-0.07,-2.28,0.05,-1.23,7.440296435344464,3.44,-1.82,303.85,1.7,79.33
